日期(年),單位,國內能源消費,按部門別_能源部門自用,按部門別_最終消費_小計,按部門別_最終消費_工業部門,按部門別_最終消費_運輸部門,按部門別_最終消費_農業部門,按部門別_最終消費_服務業部門,按部門別_最終消費_住宅部門,按部門別_最終消費_非能源消費,按能源別_煤及煤產品,按能源別_石油產品,按能源別_天然氣,按能源別_生質能及廢棄物,按能源別_電力,按能源別_太陽熱能,按能源別_熱能
2002,千公秉油當量,68750,5387,63363,23652,12961,1102,4954,5862,14834,7556,40112,2381,408,18180,84,28
2003,千公秉油當量,72469,5952,66517,24128,12966,1238,5306,6029,16851,7563,41987,2333,448,19156,88,894
2004,千公秉油當量,75706,6455,69250,25120,13470,1305,5551,6122,17683,7553,43860,2509,462,20056,93,1173
2005,千公秉油當量,76918,6943,69976,25308,13842,1177,5819,6433,17397,7460,44284,2480,475,20875,98,1246
2006,千公秉油當量,77958,6983,70975,26266,13806,837,5972,6364,17729,7817,44029,2469,492,21592,102,1457
2007,千公秉油當量,82644,7070,75575,26993,13334,640,5974,6437,22198,7950,47224,2569,495,22311,105,1990
2008,千公秉油當量,78901,6347,72554,25328,12557,802,5972,6387,21507,7530,44420,2612,509,21948,110,1772
2009,千公秉油當量,77971,6204,71767,23765,12695,667,5854,6435,22352,6860,44915,2644,465,21091,113,1884
2010,千公秉油當量,82893,6552,76342,26677,13112,651,6014,6394,23494,8160,46314,3026,513,22686,114,2082
2011,千公秉油當量,81070,6376,74694,27234,13297,666,5879,6456,21161,8779,43223,3385,489,23133,113,1948
2012,千公秉油當量,81174,6499,74675,26935,13023,715,5771,6294,21937,8630,43215,3706,466,23040,114,2003
2013,千公秉油當量,83527,6558,76969,27503,13010,726,5858,6240,23632,9294,44634,3683,468,23423,113,1912
2014,千公秉油當量,84714,7184,77530,27167,13144,755,5963,6361,24141,8840,45712,3670,490,23994,112,1897
2015,千公秉油當量,85043,7189,77854,26603,13450,742,6036,6357,24667,8871,45985,3851,495,23891,114,1836
2016,千公秉油當量,85350,7152,78198,26826,13837,737,6037,6620,24141,9019,45630,3952,457,24407,112,1773
2017,千公秉油當量,85092,7059,78033,26871,13691,721,6098,6590,24061,8481,45057,4329,432,24978,113,1702
2018,千公秉油當量,86414,7372,79042,27630,13318,826,5937,6410,24920,7368,45658,4705,438,25471,105,2669
2019,千公秉油當量,83594,7471,76123,27017,13408,835,5913,6432,22519,7362,43021,4826,429,25391,101,2463
2020,千公秉油當量,83848,7067,76781,27140,13513,789,5921,6782,22636,7115,42645,5136,429,25918,104,2501
2021,千公秉油當量,88249,7250,80999,29105,12816,788,5823,6955,25513,7454,44888,5643,442,27060,80,2682
2022,千公秉油當量,83130,7262,75868,27503,13127,802,6045,6761,21630,6543,41183,5856,471,26703,0,2374
